Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,Nom,EC_min,EC_max,Ph_min,Ph_max
Violette africaine,African Violet,1.2,1.5,6.0,7.0
Anis,Anise,0.9,1.4,5.8,6.4
Artichaut,Artichoke,0.8,1.8,7.5,7.5
Artichaut,Artichoke,0.8,1.8,6.5,7.5
Roquette,Arugula,0.8,1.8,6.0,7.5
Roquette,Arugula,0.8,1.4,5.5,6.8
Asperge,Asparagus,1.4,1.8,6.8,6.8
Asperge,Asparagus,1.4,1.8,6.0,6.8
Banane,Banana,1.8,2.2,6.5,6.5
Banane,Banana,1.8,2.2,5.5,6.5
Basilic,Basil,1.0,1.6,6.5,6.5
Basilic,Basil,1.0,1.6,5.5,6.0
Basilic,Basil,1.0,1.6,5.5,6.5
Fève,Bean,2.0,4.0,6.0,6.0
Fève,Bean,1.8,2.4,6.0,6.5
Fève,Bean [Common],2.0,2.4,6.0,6.0
Fève,Beans,1.8,2.5,6.0,6.5
Haricot,Beans [Italian bush],-1.0,-1.0,6.5,6.5
Fève de Lima,Beans [Lima],-1.0,-1.0,6.5,6.5
Haricot,Beans [Pole],-1.0,-1.0,6.5,6.5
Betterave,Beetroot,0.8,5.0,6.5,6.5
Betterave,Beetroot,0.8,5.0,6.0,6.5
Piment,Bell Pepper,1.8,2.8,6.0,6.5
Piment,Bell peppers,2.0,2.5,6.5,6.5
Cassis,Black currant,1.4,1.8,6.0,6.0
Bleuet,Blueberry,1.8,2.0,4.0,5.0
Bok choy,Bok_Choy,1.5,2.0,6.5,7.0
Féverole,Broad Bean,1.8,2.2,6.5,6.5
Féverole,Broad bean,1.8,2.2,6.0,6.5
Broccoli,Broccoli,2.8,3.5,6.0,6.8
Broccoli,Broccoli,2.8,3.5,6.5,6.5
Broccoli,Broccoli,2.8,3.5,6.0,6.5
Chou de Bruxelles,Brussel Sprouts,2.5,3.0,6.5,7.5
Chou de Bruxelles,Brussell Sprout,2.5,3.0,7.5,7.5
Chou de Bruxelles,Brussels sprouts,2.5,3.0,6.5,7.5
Ciboulette,Bunching Onion,1.8,2.4,5.5,6.8
Chou,Cabbage,2.5,3.0,7.0,7.0
Chou,Cabbage,2.5,3.0,6.5,7.0
Piment,Capsicum,1.8,2.2,6.5,6.5
Oeillet,Carnation,2.0,3.5,6.0,6.0
Carotte,Carrots,1.6,2.0,6.3,6.3
Cataire,Catnip,1.0,1.6,5.5,6.5
Chou-fleur,Cauliflower,0.5,2.0,7.0,7.0
Chou-fleur,Cauliflower,0.5,2.0,6.0,7.0
