id,nom,ec_min,ec_max,ph_min,ph_max,prod
,Artichoke ,0.8,1.8,6.5,7.5,feuille
,Arugula ,0.8,1.8,6.0,7.5,feuille
,Asparagus ,1.4,1.8,6.0,6.8,tige
,Banana ,1.8,2.2,5.5,6.5,fruit
,Beans ,1.8,2.5,6.0,6.5,feve
,Beetroot ,0.8,5.0,6.0,6.5,racine
,Bell Pepper,1.8,2.8,6.0,6.5,fruit
,Black currant,1.4,1.8,6.0,6.0,fruit
,Blueberry ,1.8,2.0,4.0,5.0,fruit
,Broad bean,1.8,2.2,6.0,6.5,feve
,Broccoli ,2.8,3.5,6.0,6.5,tige
,Brussels sprouts,2.5,3.0,6.5,7.5,feuille
,Cabbage ,2.5,3.0,6.5,7.0,feuille
,Carrots ,1.6,2.0,6.3,6.3,racine
,Cauliflower ,0.5,2.0,6.0,7.0,tige
,Celery ,1.8,2.4,6.5,6.5,tige
,Chili ,1.8,2.8,5.8,6.3,fruit
,Cress ,1.2,2.4,6.0,6.5,feuille
,Cucumber ,1.7,2.5,5.8,6.0,fruit
,Edible Flower,1.5,1.5,5.5,6.0,fleur
,Eggplant ,2.5,3.5,5.5,6.5,fruit
,Endive ,2.0,2.4,5.5,5.5,feuille
,Ginger ,2.0,2.5,5.8,6.0,racine
,Garlic ,1.4,1.8,6.0,6.0,bulbe
,Hot peppers,1.4,1.8,6.0,6.5,fruit
,Kale ,1.3,1.5,5.5,6.5,feuille
,Leeks ,1.4,1.8,6.5,7.0,feuille
,Lemon balm,1.0,1.6,5.5,6.5,feuille
,Lettuce ,0.8,1.2,5.5,6.5,feuille
,Melon ,2.0,2.5,5.5,6.0,fruit
,Onions ,1.2,1.8,6.0,6.7,bulbe
,Okra ,2.0,2.4,6.5,6.5,fruit
,Pak Choi_Tatsoi,1.5,2.0,6.0,7.5,feuille
,Parsnip ,1.4,1.8,6.0,6.0,racine
,Pea ,0.8,1.8,6.0,7.0,feve
,Pineapple ,2.0,2.4,5.5,6.0,fruit
,Potato ,2.0,2.5,5.0,6.0,racine
,Pumpkin ,1.8,2.4,5.5,7.5,fruit
,Radish ,1.6,2.2,6.0,7.0,racine
,Red currant,1.4,1.8,6.0,6.0,fruit
,Rhubarb ,1.6,2.0,5.0,6.0,tige
,Salad ,0.8,1.5,5.5,6.5,feuille
,Rocket ,0.8,1.2,6.0,7.5,feuille
,Spinach ,1.8,2.3,6.0,7.0,feuille
,Strawberry ,1.8,2.2,5.5,6.5,fruit
,Sweet Corn,1.6,2.4,6.0,6.0,fruit
,Sweet Potato,2.0,2.5,6.0,6.5,racine
,Swiss chard,1.8,2.3,6.0,7.0,feuille
,Sweet Granadilla,1.6,2.4,6.5,6.5,fruit
,Tomatoes ,1.5,2.5,5.5,6.5,fruit
,Turnip ,1.8,2.4,6.0,6.5,racine
,Watermelon ,1.5,2.4,5.8,5.8,fruit
,Zucchini ,1.8,2.4,6.0,6.0,fruit
