nom,ec_min,ec_max,ph_min,ph_max,prod
African Violet,1.2,1.5,6.0,7.0,fleur
Anise,0.9,1.4,5.8,6.4,feuille
Artichoke,0.8,1.8,6.5,7.5,feuille
Arugula,0.8,1.8,6.0,7.5,feuille
Arugula,0.8,1.4,5.5,6.8,feuille
Asparagus,1.4,1.8,6.0,6.8,tige
Banana,1.8,2.2,5.5,6.5,fruit
Basil,1.0,1.6,5.5,6.0,feuille
Basil,1.0,1.6,5.5,6.5,feuille
Bean,2.0,4.0,6.0,6.0,fève
Bean,1.8,2.4,6.0,6.5,fève
Beans,1.8,2.5,6.0,6.5,fève
Beetroot,0.8,5.0,6.0,6.5,racine
Bell Pepper,1.8,2.8,6.0,6.5,fruit
Black currant,1.4,1.8,6.0,6.0,fruit
Blueberry,1.8,2.0,4.0,5.0,fruit
Bok_Choy,1.5,2.0,6.5,7.0,feuille
Broad bean,1.8,2.2,6.0,6.5,fève
Broccoli,2.8,3.5,6.0,6.8,tige
Broccoli,2.8,3.5,6.0,6.5,tige
Brussel Sprouts,2.5,3.0,6.5,7.5,feuille
Brussels sprouts,2.5,3.0,6.5,7.5,feuille
Bunching Onion,1.8,2.4,5.5,6.8,bulbe
Cabbage,2.5,3.0,6.5,7.0,feuille
Carnation,2.0,3.5,6.0,6.0,fleur
Carrots,1.6,2.0,6.3,6.3,racine
Catnip,1.0,1.6,5.5,6.5,feuille
Cauliflower,0.5,2.0,6.0,7.0,tige
Celery,1.8,2.4,6.3,6.7,tige
Celery,1.8,2.4,6.5,6.5,tige
Chamomile,1.0,1.6,5.5,6.5,fleur
Chamomile,0.8,1.4,5.5,6.5,fleur
Chervil,0.8,1.8,5.5,6.0,feuille
Chickory,2.0,2.4,5.5,6.0,feuille
Chili,1.8,2.8,5.8,6.3,fruit
Chives,1.8,2.4,6.0,6.5,feuille
Cilantro,1.3,1.8,6.5,6.7,feuille
Cilantro,1.2,1.8,5.8,6.4,feuille
Collard Greens,1.6,2.5,5.5,6.8,feuille
Coriander,1.2,1.8,5.8,6.4,feuille
Courgettes,1.8,2.4,6.0,6.0,fruit
Cress,1.2,2.4,6.0,6.5,feuille
Cucumber,1.8,3.0,5.8,6.0,fruit
Cucumber,1.7,2.5,5.8,6.0,fruit
Cucumber,1.7,2.0,5.0,5.5,fruit
Daisy,1.2,1.8,5.5,6.5,fleur
Dandelion,1.0,1.8,5.8,6.5,fleur
Dill,1.0,1.6,5.5,6.4,feuille
Edible Flower,1.5,1.5,5.5,6.0,fleur
Eggplant,2.5,3.5,5.5,6.5,fruit
Eggplant,2.5,3.5,6.0,6.0,fruit
Endive,2.0,2.4,5.5,5.5,feuille
Fennel,1.0,1.4,6.4,6.8,feuille
Ficus,1.6,2.4,5.5,6.0,feuille
Garlic,1.4,1.8,6.0,6.0,bulbe
Ginger,2.0,2.5,5.8,6.0,racine
Hot peppers,1.4,1.8,6.0,6.5,fruit
Kale,1.6,2.5,5.5,6.8,feuille
Kale,1.3,1.5,5.5,6.5,feuille
Lavender,1.0,1.4,6.4,6.8,fleur
Lavender,1.0,1.4,6.4,6.8,feuille
Leek,1.4,1.8,6.5,7.0,feuille
